id,ticker,exchange,price
802590ad-feab-42c4-b37a-f8573a5cd255,BABY,Hermann Inc,213
fb889902-973f-4e64-8831-8c83ce0c91ff,RGEN,"McGlynn, Bergnaum and Rice",44
9b62756f-6f6b-41b8-893c-d00afec9e221,LRAD,Predovic-Wintheiser,3124
b317d1aa-c401-40fa-b38e-152b6f5f1aaa,BCTF,Lakin Inc,41
ddfc08aa-7bc8-4d4b-992a-0aa9cc788d16,LYG,"Homenick, Conn and Marks",444
5219d2cc-676b-4fa2-a189-3eac13fa3fee,FSAM,Powlowski-Oberbrunner,12
b3de1e4a-47d9-450b-8819-5795f1498790,CHKP,"Shields, Cole and Lubowitz",456
19e1bf17-336c-4a2a-a538-6d379f9ab1d8,CGNX,Kulas-Hilpert,123
9d8392ae-3ff8-4bb3-bc61-077d6effa2ee,SHB,Hermann Inc,123
3585e353-3d6e-4493-8374-ee35ed22850a,SBTC,Kulas-Hilpert,2323